# slot	원본 이미지 URL (okidokiokidoki38449.imweb.me 홈페이지에서 추출)	대체 텍스트
index-01	https://cdn.imweb.me/thumbnail/20260729/ea3adc879dbde.png	지하철역 노인우대석 앞에 앉은 어르신
index-02	https://cdn.imweb.me/thumbnail/20260729/364cc0479f641.png	대체 저녁은 몇 시에 먹어야 건강에 좋을까?
index-03	https://cdn.imweb.me/thumbnail/20260729/19ca36969a851.png	나이 들어도 40대 수준의 뇌를 유지하는 방법은?
index-04	https://cdn.imweb.me/thumbnail/20260729/7d31a96daa9ee.png	돈을 준다고 해도 먹지 말아야 할 음식은?
index-05	https://cdn.imweb.me/thumbnail/20260729/d2a18304f753b.png	나쁜 기름은 줄이고, 좋은 기름은 높이고
index-06	https://cdn.imweb.me/thumbnail/20260729/56551bf14e076.png	65세 이상 고령층, 전체 인구의 20.7%
index-07	https://cdn.imweb.me/thumbnail/20260728/f495e31515c8e.png	요양병원 간병비 급여화 시범사업
index-08	https://cdn.imweb.me/thumbnail/20260724/f552b1165796f.png	인천 옹진군의 재택의료센터
index-09	https://cdn.imweb.me/thumbnail/20260723/0b882bdbae0f7.png	경북 영덕군 재택의료센터 경대연합의원
index-10	https://cdn.imweb.me/thumbnail/20260713/50dc53c33675a.png	전문 가정간호사 제도
index-11	https://cdn.imweb.me/thumbnail/20260713/270aabfa8e31a.png	의정부을지대병원 가정간호센터
index-12	https://cdn.imweb.me/thumbnail/20260729/2bee9210fae2e.png	대체 저녁은 몇 시에 먹어야 건강에 좋을까?
index-13	https://cdn.imweb.me/thumbnail/20260729/524157b65f56b.png	나이 들어도 40대 수준의 뇌를 유지하는 방법은?
news-01	https://cdn.imweb.me/thumbnail/20260728/4c9208d95a779.png	중증 입원 후 퇴원을 앞둔 환자
news-02	https://cdn.imweb.me/thumbnail/20260728/66bf81c22d34f.png	65세 이상 고령인구 20.7%
news-03	https://cdn.imweb.me/thumbnail/20260724/6235d14ad1d51.png	집에서 재택의료로 부모님 모시기
news-04	https://cdn.imweb.me/thumbnail/20260723/00ba29a56420a.png	부모님 낙상 예방
news-05	https://cdn.imweb.me/thumbnail/20260729/ea3adc879dbde.png	65세 이상 고령층, 전체 인구의 20.7%
news-06	https://cdn.imweb.me/thumbnail/20260728/c507df527cb6f.png	요양병원 간병비 급여화 시범사업
news-07	https://cdn.imweb.me/thumbnail/20260724/80666099515de.png	인천 옹진군의 재택의료센터
news-08	https://cdn.imweb.me/thumbnail/20260723/78bc302011b34.png	경북 영덕군 재택의료센터 경대연합의원
news-09	https://cdn.imweb.me/thumbnail/20260713/61d2d57cc847e.png	전문 가정간호사 제도
news-10	https://cdn.imweb.me/thumbnail/20260713/672a7386f31d3.png	의정부을지대병원 가정간호센터
news-11	https://cdn.imweb.me/thumbnail/20260729/80eedbbbbe54f.png	대체 저녁은 몇 시에 먹어야 건강에 좋을까?
news-12	https://cdn.imweb.me/thumbnail/20260729/54d060f1e9509.png	나이 들어도 40대 수준의 뇌를 유지하는 방법은?
news-13	https://cdn.imweb.me/thumbnail/20260729/5b4b81d3b1cba.png	돈을 준다고 해도 먹지 말아야 할 음식은?
news-14	https://cdn.imweb.me/thumbnail/20260729/d2a18304f753b.png	나쁜 기름은 줄이고, 좋은 기름은 높이고
news-15	https://cdn.imweb.me/thumbnail/20260716/de173f67d9297.png	이호재 소장의 건강돌봄, 재산돌봄
article-01	https://cdn.imweb.me/thumbnail/20260729/ea3adc879dbde.png	지하철역 노인우대석 앞에 앉은 어르신
article-02	https://cdn.imweb.me/thumbnail/20260728/f495e31515c8e.png	요양병원 간병비 급여화 시범사업
article-03	https://cdn.imweb.me/thumbnail/20260724/f552b1165796f.png	인천 옹진군의 재택의료센터
article-04	https://cdn.imweb.me/thumbnail/20260713/270aabfa8e31a.png	의정부을지대병원 가정간호센터
local-01	https://cdn.imweb.me/thumbnail/20260724/80666099515de.png	인천 옹진군의 재택의료센터
local-02	https://cdn.imweb.me/thumbnail/20260723/78bc302011b34.png	경북 영덕군 재택의료센터 경대연합의원
about-01	https://cdn.imweb.me/thumbnail/20260724/6235d14ad1d51.png	집에서 재택의료로 부모님 모시기
@columnist.jpg	https://cdn.imweb.me/thumbnail/20260716/de173f67d9297.png	crop=145,0,390,390
@partner-1.png	https://cdn.imweb.me/thumbnail/20260618/70ef2930dc21c.png
@partner-2.png	https://cdn.imweb.me/thumbnail/20260701/6000d06bf4deb.png
@partner-3.png	https://cdn.imweb.me/thumbnail/20260626/53787bddb9e70.png
